*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Feb 18 09:39:33 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -1.734173457390217E-01,  9.736937590796603E-01, -1.582107821713564E-04, -1.720709737865684E-02, -3.125258586509626E-03, -1.120932427483096E-07,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -1.905962795700983E-01,  9.704190424312359E-01, -1.583788718455702E-04, -1.714996426700000E-02, -3.424007784959247E-03, -2.185034739044289E-07,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -2.077156626558458E-01,  9.668460676869264E-01, -1.586350941448913E-04, -1.708799440387089E-02, -3.721784099212912E-03, -2.869789354321512E-07,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -2.247706448084408E-01,  9.629757828779725E-01, -1.589381813619192E-04, -1.702115238183764E-02, -4.018633293265080E-03, -3.116850699676290E-07,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -2.417563176799677E-01,  9.588091056809535E-01, -1.592435765511553E-04, -1.694936047040482E-02, -4.314567157248733E-03, -2.918801085534067E-07,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -2.586676831066763E-01,  9.543469645410976E-01, -1.595083095917812E-04, -1.687252071741174E-02, -4.609551576881071E-03, -2.312777737362271E-07,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -2.754996441965260E-01,  9.495903447586992E-01, -1.596947399428276E-04, -1.679053678992997E-02, -4.903508166460570E-03, -1.365413941317929E-07,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -2.922470150312723E-01,  9.445403279962259E-01, -1.597726778076429E-04, -1.670332866888327E-02, -5.196324698406713E-03, -1.566262834234869E-08,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -3.089045406807552E-01,  9.391981197185718E-01, -1.597200583243653E-04, -1.661083873809970E-02, -5.487867823986274E-03,  1.232573201294339E-07,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -3.254669198813266E-01,  9.335650647529725E-01, -1.595226713114385E-04, -1.651303155973064E-02, -5.777993623600107E-03,  2.726803234277783E-07,
2458129.500000000, A.D. 2018-Jan-11 00:00:00.0000, -3.419288256990435E-01,  9.276426541426366E-01, -1.591734532078931E-04, -1.640989057406641E-02, -6.066554405834582E-03,  4.258626576968638E-07,
2458130.500000000, A.D. 2018-Jan-12 00:00:00.0000, -3.582849224418196E-01,  9.214325269809932E-01, -1.586716922977448E-04, -1.630141421654060E-02, -6.353402096428359E-03,  5.768273255209971E-07,
2458131.500000000, A.D. 2018-Jan-13 00:00:00.0000, -3.745298790069802E-01,  9.149364701164627E-01, -1.580223229025136E-04, -1.618761281348596E-02, -6.638389306617715E-03,  7.202358328691522E-07,
